index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude,original_components,enriched_components,component_gain,original_length,enriched_length,length_gain
909,"Mortimer St, Mudgee, 2850","Mortimer Street, Mudgee NSW 2850",Farthing Lane Mudgee New South Wales 2850,Farthing Lane,Mudgee,New South Wales,2850.0,,NRMA,-32.59368073,149.5862633,4,7,3,25,41,16
879,"Jean Wailes Ave, Sydney, 2138","Jean Wailes Avenue, Sydney NSW 2138",1 Rider Boulevard Rhodes New South Wales 2138,1 Rider Boulevard,Rhodes,New South Wales,2138.0,,Chargefox,-33.83529434,151.0844314,5,8,3,29,45,16
905,"Methul St N, Coolamon, 2701","Methul Street N, Coolamon NSW 2701",Methul Street North Coolamon New South Wales 2701,Methul Street North,Coolamon,New South Wales,2701.0,,Exploren,-34.81361066,147.2015485,5,8,3,27,49,22
902,"Melyra Street, Grenfell, 2810","Melyra Street, Grenfell NSW 2810",Melyra Street Grenfell New South Wales 2810,Melyra Street,Grenfell,New South Wales,2810.0,,Exploren,-33.89200405,148.1607778,4,7,3,29,43,14
901,"Megalong Rd, Megalong Valley, 2785","Megalong Road, Megalong Valley NSW 2785",824 Megalong Road Blackheath New South Wales 2785,824 Megalong Road,Blackheath,New South Wales,2785.0,,Chargefox,-33.69583588,150.2530601,5,8,3,34,49,15
907,"Mitchell Pde, Mollymook Beach, 2539","Mitchell Parade, Mollymook Beach NSW 2539",Mitchell Parade Mollymook Beach New South Wales 2539,Mitchell Parade,Mollymook Beach,New South Wales,2539.0,,Porsche Smart Mobility,-35.32252857,150.485036,5,8,3,35,52,17
900,"McFarlane St, Sydney, 2160","Mcfarlane Street, Sydney NSW 2160",Treves Street Merrylands New South Wales 2160,Treves Street,Merrylands,New South Wales,2160.0,,Tesla,-33.83346051,150.9873373,4,7,3,26,45,19
899,"Market St, Merimbula, 2548","Market Street, Merimbula NSW 2548",Market Street Merimbula New South Wales 2548,Market Street,Merimbula,New South Wales,2548.0,,Tesla,-36.89278383,149.9090891,4,7,3,26,44,18
898,"M4 Motorway Westbound, Sydney, 2766","M4 Motorway Westbound, Sydney NSW 2766",Oporto Drive-Thru Eastern Creek New South Wales 2766,Oporto Drive-Thru,Eastern Creek,New South Wales,2766.0,,Ampol,-33.80214519,150.8802132,5,8,3,35,52,17
897,"Lovedale Rd, Lovedale, 2325","Lovedale Road, Lovedale NSW 2325",Lovedale Road Cessnock New South Wales 2325,Lovedale Road,Cessnock,New South Wales,2325.0,,Porsche Smart Mobility,-32.75337542,151.3714925,4,7,3,27,43,16
895,"Library Walk, Sydney, 2033","Library Walk, Sydney NSW 2033",Oval Lane Kensington New South Wales 2032,Oval Lane,Kensington,New South Wales,2032.0,,Chargefox,-33.91844849,151.2345085,4,7,3,26,41,15
508,"39 East Espl, Sydney, 2095","39 East Espl, Sydney NSW 2095",39 East Esplanade Manly New South Wales 2095,39 East Esplanade,Manly,New South Wales,2095.0,,Gentari,-33.79983388,151.286,5,8,3,26,44,18
421,"3 Fordham Way, Sydney, 2570","3 Fordham Way, Sydney NSW 2570",Fordham Way Oran Park New South Wales 2570,Fordham Way,Oran Park,New South Wales,2570.0,,Exploren,-34.00018823,150.7388438,5,8,3,27,42,15
244,"19 Narabang Way, Sydney, 2085","19 Narabang Way, Sydney NSW 2085",23 Narabang Way Sydney New South Wales 2085,23 Narabang Way,Sydney,New South Wales,2085.0,,Saascharge,-33.7073564,151.2121241,5,8,3,29,43,14
272,"2 Lachlan Valley Way, Cowra, 2794","2 Lachlan Valley Way, Cowra NSW 2794",Lachlan Valley Way Taragala New South Wales 2794,Lachlan Valley Way,Taragala,New South Wales,2794.0,,Non-networked,-33.83527532,148.6811792,6,8,2,33,48,15
